date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2022-10-14,1287.08,1287.08,1343.12,1343.12,1283.39,1283.39,1296.27,1296.27,669742.8093,669742.8093
2022-10-13,1294.44,1294.44,1301.58,1301.58,1190.0,1190.0,1287.08,1287.08,945618.3163,945618.3163
2022-10-12,1280.11,1280.11,1306.87,1306.87,1275.25,1275.25,1294.44,1294.44,369712.5759,369712.5759
2022-10-11,1290.03,1290.03,1298.0,1298.0,1267.01,1267.01,1280.11,1280.11,429430.3941,429430.3941
2022-10-10,1323.13,1323.13,1338.0,1338.0,1288.0,1288.0,1290.03,1290.03,393663.0114,393663.0114
2022-10-09,1315.48,1315.48,1329.0,1329.0,1307.26,1307.26,1323.13,1323.13,186201.9185,186201.9185
2022-10-08,1331.1,1331.1,1337.35,1337.35,1303.51,1303.51,1315.48,1315.48,203391.6612,203391.6612
2022-10-07,1352.07,1352.07,1361.75,1361.75,1317.26,1317.26,1331.1,1331.1,491999.8776,491999.8776
2022-10-06,1352.2,1352.2,1383.99,1383.99,1345.01,1345.01,1352.06,1352.06,573975.324,573975.324
2022-10-05,1361.5,1361.5,1364.77,1364.77,1316.29,1316.29,1352.2,1352.2,483508.7782,483508.7782
2022-10-04,1323.1,1323.1,1369.55,1369.55,1318.66,1318.66,1361.49,1361.49,476207.6702,476207.6702
2022-10-03,1276.72,1276.72,1329.9,1329.9,1263.04,1263.04,1323.09,1323.09,483775.2435,483775.2435
2022-10-02,1311.79,1311.79,1317.93,1317.93,1270.0,1270.0,1276.72,1276.72,371740.0407,371740.0407
2022-10-01,1328.71,1328.71,1333.69,1333.69,1302.68,1302.68,1311.79,1311.79,252081.9056,252081.9056
2022-09-30,1335.69,1335.69,1373.19,1373.19,1313.35,1313.35,1328.72,1328.72,740753.611,740753.611
2022-09-29,1337.2,1337.2,1352.02,1352.02,1288.52,1288.52,1335.7,1335.7,770591.6895,770591.6895
2022-09-28,1328.01,1328.01,1355.7,1355.7,1253.2,1253.2,1337.2,1337.2,919314.9131,919314.9131
2022-09-27,1336.17,1336.17,1400.0,1400.0,1303.75,1303.75,1328.02,1328.02,860584.8944,860584.8944
2022-09-26,1294.62,1294.62,1340.42,1340.42,1277.85,1277.85,1336.17,1336.17,799166.4333,799166.4333
2022-09-25,1317.13,1317.13,1337.0,1337.0,1269.27,1269.27,1294.63,1294.63,515533.8409,515533.8409
2022-09-24,1327.24,1327.24,1349.33,1349.33,1306.52,1306.52,1317.13,1317.13,517557.3497,517557.3497
2022-09-23,1326.47,1326.47,1360.0,1360.0,1262.15,1262.15,1327.25,1327.25,974052.3644,974052.3644
2022-09-22,1245.79,1245.79,1350.08,1350.08,1237.32,1237.32,1326.46,1326.46,904282.2725,904282.2725
